Neighborhood,Latitude,Longitude
Allston,42.3529,-71.1321
Back Bay,42.3573,-71.0954
Beacon Hill,42.3539,-71.0943
Brighton,42.3477,-71.1215
Charlestown,42.3565,-71.0923
Dorchester,42.3255,-71.1064
Downtown,42.3569,-71.0972
East Boston,42.3495,-71.0628
Fenway,42.3556,-71.0957
Hyde Park,42.3072,-71.1059
Jamaica Plain,42.3391,-71.1081
Longwood,42.3482,-71.0885
Mattapan,42.2999,-71.1227
Mission Hill,42.3436,-71.1102
North End,42.3603,-71.0943
Roslindale,42.3288,-71.1234
Roxbury,42.3239,-71.1147
South Boston,42.3442,-71.0883
South Boston Waterfront,42.3431,-71.0876
South End,42.3506,-71.0975
West End,42.3558,-71.0976
West Roxbury,42.3067,-71.1424
