Neighb,MovedWithinSameCountry%,MovedDifferentCountryWithinSameState%,MovedFromDifferentState%,MovedFromAbroad%
Allston,10.9%,6.5%,13.8%,7.6%
Back Bay,11.0%,5.5%,9.3%,3.7%
Beacon Hill,11.6%,6.4%,8.8%,3.9%
Brighton,9.6%,9.2%,6.0%,2.6%
Charlestown,7.9%,3.6%,2.8%,0.6%
Dorchester,8.9%,2.8%,1.3%,1.1%
Downtown,8.7%,6.9%,11.2%,3.6%
East Boston,11.3%,3.0%,2.1%,1.4%
Fenway,13.9%,6.6%,13.9%,7.8%
Hyde Park,5.1%,1.5%,1.4%,0.5%
Jamaica Plain,9.0%,3.1%,4.6%,0.9%
Longwood,4.6%,10.6%,17.2%,5.4%
Mattapan,9.1%,3.6%,1.1%,1.2%
Mission Hill,15.6%,5.5%,7.1%,5.6%
North End,16.4%,7.7%,5.9%,1.6%
Roslindale,7.2%,2.6%,1.8%,0.7%
Roxbury,5.9%,2.3%,1.9%,1.0%
South Boston,10.6%,4.9%,2.2%,0.2%
South Boston Waterfront,10.1%,9.5%,8.5%,1.0%
South End,10.0%,4.4%,4.4%,1.8%
West End,13.2%,6.2%,9.0%,2.2%
West Roxbury,5.3%,3.4%,1.0%,0.9%
