Neighb,Per Capita Income
Allston,34148.7098281501
Back Bay,110676.820558961
Beacon Hill,100005.286069652
Brighton,41261.3758431741
Charlestown,75338.893916541
Dorchester,29767.2079994327
Downtown,80057.3418551295
East Boston,31472.5451198612
Fenway,28021.314461465
Hyde Park,32744.080772788
Jamaica Plain,51654.5036337387
Longwood,7974.54681367969
Mattapan,28355.8573089763
Mission Hill,23446.3188772576
North End,89696.3881586467
Roslindale,41252.0035974818
Roxbury,20977.6887428223
South Boston,64744.7895137605
South Boston Waterfront,129650.897115603
South End,83608.5720426146
West End,77069.3307146095
West Roxbury,47835.6230984907
