Neighb,Poverty rate
Allston,27.9263856195164%
Back Bay,11.9350673307508%
Beacon Hill,6.37259989621173%
Brighton,17.2058682519896%
Charlestown,14.4393939393939%
Dorchester,22.2179071592179%
Downtown,21.1282526650334%
East Boston,16.0466006207747%
Fenway,39.200908527772%
Hyde Park,14.9195957706596%
Jamaica Plain,12.8023008628236%
Longwood,29.7435897435897%
Mattapan,20.1042697313342%
Mission Hill,37.0440829178693%
North End,8.03817847286109%
Roslindale,9.75272408325743%
Roxbury,31.6871618298082%
South Boston,14.0838912419729%
South Boston Waterfront,5.91885441527446%
South End,19.9114222001982%
West End,14.046369944153%
West Roxbury,6.31429262979547%
