"INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location","distrito"
"222076257",619,NA,"LARCENY ALL OTHERS","D4",167,0,"2022-01-01 00:00:00",2022,1,"Saturday",0,NA,"HARRISON AVE",42.3395419898301,-71.0694087696754,"(42.33954198983014, -71.06940876967543)","South End"
"222000003",423,NA,"ASSAULT - AGGRAVATED","D4",NA,0,"2022-01-01 00:29:00",2022,1,"Saturday",0,NA,"BROOKLINE AVE",42.3462507990564,-71.099538558729,"(42.34625079905638, -71.09953855872904)","Fenway"
"222000004",1402,NA,"VANDALISM","E5",NA,0,"2022-01-01 00:33:00",2022,1,"Saturday",0,NA,"DELFORD ST",42.2920920692288,-71.1210887677753,"(42.292092069228836, -71.12108876777533)","Roslindale"
"222000011",423,NA,"ASSAULT - AGGRAVATED","A1",NA,0,"2022-01-01 00:46:00",2022,1,"Saturday",0,NA,"SCHOOL ST",42.3575461992396,-71.0588195319583,"(42.35754619923963, -71.0588195319583)","Downtown"
"222000006",423,NA,"ASSAULT - AGGRAVATED","A1",93,0,"2022-01-01 00:48:00",2022,1,"Saturday",0,NA,"UNION ST",42.3606878699102,-71.0568729337081,"(42.36068786991018, -71.05687293370812)","Downtown"
"222000567",614,NA,"LARCENY THEFT FROM MV - NON-ACCESSORY","D4",138,0,"2022-01-01 01:00:00",2022,1,"Saturday",1,NA,"NEWBURY ST",42.3499973272539,-71.0810344032756,"(42.34999732725388, -71.08103440327558)","Back Bay"
"222000016",801,NA,"ASSAULT - SIMPLE","D14",NA,0,"2022-01-01 01:27:00",2022,1,"Saturday",1,NA,"ALLSTON ST & BRIGHTON AVE
BRIGHTON  MA 02134
UNITE",42.3532270000647,-71.1344429754818,"(42.35322700006466, -71.1344429754818)","Allston"
"222000018",801,NA,"ASSAULT - SIMPLE","D4",NA,0,"2022-01-01 01:31:00",2022,1,"Saturday",1,NA,"BERKELEY ST",42.3489073379605,-71.0718933046936,"(42.34890733796049, -71.0718933046936)","Back Bay"
"222000036",801,NA,"ASSAULT - SIMPLE","C6",NA,0,"2022-01-01 01:41:00",2022,1,"Saturday",1,NA,"E EIGHTH ST",42.331291765602,-71.0453950147801,"(42.33129176560201, -71.04539501478008)","South Boston"
"222000024",1402,NA,"VANDALISM","D4",NA,0,"2022-01-01 02:15:00",2022,1,"Saturday",2,NA,"BERKELEY ST",42.3489073379605,-71.0718933046936,"(42.34890733796049, -71.0718933046936)","Back Bay"
"222000045",801,NA,"ASSAULT - SIMPLE","A1",NA,0,"2022-01-01 02:20:00",2022,1,"Saturday",2,NA,"TREMONT ST",42.3494286414245,-71.0653664119742,"(42.3494286414245, -71.06536641197421)","Beacon Hill"
"222000874",1402,NA,"VANDALISM","D4",NA,0,"2022-01-01 03:23:00",2022,1,"Saturday",3,NA,"HUNTINGTON AVE & BELVIDERE ST
BOSTON  MA 02199
UNI",42.345421040681,-71.0818199454756,"(42.34542104068098, -71.08181994547562)","Back Bay"
"222000053",801,NA,"ASSAULT - SIMPLE","D4",146,0,"2022-01-01 03:34:00",2022,1,"Saturday",3,NA,"SAINT BOTOLPH ST",42.345619005831,-71.079908470311,"(42.34561900583096, -71.07990847031095)","Back Bay"
